S,D1,D2,D3,D4,D5,D6,D7,C
R,40.5,13.5,15,46.5,12,24.76,108.75,N
R,0,0,0,0,0,11.24,0,N
R,3.27,0,0,0,6.69,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0.21,0,N
R,106.29,61.48,0,29.98,0,0,14.99,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,37.29,48.33,0,27.77,0,1,21.52,N
R,6131.84,3560.05,833.56,636.89,13.25,2.18,0,N
R,0,0,0,0,0,0,0,Y
R,1192.69,522.51,445.44,687.23,120.94,0,278.73,N
R,0,0,0,10507.9,0,0,12555.2,N
R,60.48,139.43,1.48,0,0,0,0,N
R,0,14.98,5.2,22.77,43.82,13.11,0,N
R,9.91,0,27.17,16.87,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,1790.33,8422.19,2418.16,N
R,0,0,0,0,0,0,0,Y
R,17316.5,16673.4,11214.06,11510.9,12283.8,6908.9,19717.8,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0.76,0,0,N
R,499.92,367.07,3250.7,2570.96,1433.23,1000.13,1701.36,N
R,1180.77,2541,1002.13,3692.26,5491.17,2161.06,3169.44,N
R,0,0,0,0,30.06,21.96,10.15,N
R,0,0,0,0,0,0.76,0,N
R,0,0,0,0,0,0,0,Y
R,1089.66,131.46,0,0,0,12334.5,2340.45,N
R,0,0,0,0,0,0,0,Y
R,31.41,10.4,105.89,57.26,9.54,22.29,5.27,N
R,0,0,0,0,0,0,0,Y
R,818.62,319.77,3.75,0,145.73,688.47,1615.98,N
R,0,27.18,31.74,0,0,17.44,0,N
R,0,0,0,0,0,0,0,Y
R,0.35,0.57,1.49,0,0.45,0,0.65,N
R,0,0,368.33,3192.45,342.36,271.02,0,N
R,0.65,1.05,17.17,11.15,20.16,0,0,N
R,594.13,35.4,0,16.48,38.02,809.89,0,N
R,359.76,134.91,26.24,0,3.75,0,0,N
R,0,0,0,0,0,0,0,Y
R,119.89,0,74.95,0,0,44.97,0,N
F,6.69,0,2.89,0,1.52,0,0,N
R,79.53,3.75,0,1.96,0,0,0,N
R,0,0,253.73,97.23,0,0,1029.14,N
R,0,0,0,0,0,0,0,Y
R,0,23.89,0,8.37,132.79,205.48,225.84,N
R,42.46,39.38,21.92,25.21,0,0,64.89,N
