S,D1,D2,D3,D4,D5,D6,D7,C
R,0,1.95,9.76,0,0,0,0,N
R,313.91,1140.33,1453.81,1797.9,318.66,159.8,595,N
PF,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
F,2.91,14.44,25.54,22.98,19.83,0.33,0,N
R,22.6,434.85,443.21,560.04,433.27,125.43,177.71,N
R,24.34,132.75,98.99,66.19,15.53,16,43.83,N
F,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,68.78,0,33.82,82.23,6.81,17.86,68.88,N
F,0,0,0,0,0,0,0,Y
F,0,0,0.1,0,0,0,0,N
F,0,17.57,10.31,56.7,20.38,19.88,10.88,N
R,0,0,0,0,0,0,0,Y
R,7.54,0.76,0,0,0.09,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,3.24,10.62,3.15,0,1.4,3.49,N
R,0,0,0,0,0,0,0,Y
R,399.99,353.18,653.47,405.34,206.36,127.63,230.66,N
R,0,0,0,0,0,0,0,Y
R,0.39,110.92,94.49,0,1473.25,703.26,1674.21,N
R,0,0,0,0,0,0,0,Y
R,0,0,16.23,0,0,0,0,N
R,0,0,0,6603.31,321.07,0,8157.06,N
R,666.17,528.69,1671.44,97.77,309.17,489.57,1520.59,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,120.08,100.49,155.78,244.11,87.11,37.24,48.86,N
R,454.34,670.83,253.5,472.49,404.22,386.21,375.65,N
F,0,0,0,0,0,0,0,Y
R,14.83,0,269.81,86.05,0,469.08,174.7,N
F,0,0,0,0,0,0,0,Y
R,0,21.16,69.91,160.47,0.84,0,0,N
PF,85.84,293.15,131.14,78.68,355.84,483.28,242.6,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,74.93,229.09,149.86,157.35,N
R,15.75,0,0,14.99,0,14.99,0,N
R,0,4.91,0,0,0,0,17.85,N
R,0,251.56,5.1,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,1620.57,0,1591.5,0,0,1941.98,1156.93,N
R,0,1.15,267.18,172.62,120.25,89.23,0.25,N
F,0,0.37,0.07,0,0,0,0,N
R,0,0.76,0,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,3610.8,955.8,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,15,N
F,0,0,0,0,0,0,0,Y
R,1.39,0,0,91.15,9.96,0,0,N
R,0,1016.59,204.47,242.89,190.79,5686.65,614.72,N
R,275.72,76.53,342.74,47.62,1.17,0.51,0.28,N
R,0,0.82,0,0,0,0,1.66,N
R,0,0,0,0,0,0,0,Y
R,0,29.98,0,0,200.69,0,0,N
R,60.73,67.09,39.82,76.78,13.42,19.76,5.74,N
R,0,0,1.5,0,0,0,0,N
R,0,1.75,9.91,2.08,1.4,0.39,0.31,N
R,0,0,0,0,0,21.93,10.61,N
R,0.55,0,0,62.13,8.05,0,0,N
R,133.3,0,3.04,60.92,131.77,195.96,139.68,N
R,0,2.43,1.41,0.03,0.27,1.07,0.31,N
R,0,0,0,0,3,3.75,0,N
R,604.88,674.38,134.88,2.67,0,944.18,1049.07,N
R,4.33,3.53,0,0,0,0,0,N
R,0,0,0,0,0,0.87,0,N
R,1.18,1.63,0,0.55,0.76,0.12,0,N
F,0.76,0,0,0,0,119.47,2,N
R,12.58,0,0,0,0.17,8.94,13.95,N
R,0,7.49,7.49,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,1.64,0,0,1.4,2.4,0,N
R,132.53,0,80.59,687.97,32.7,60.34,0,N
R,0,136.22,292.77,0,105.91,295.6,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,45.49,57.71,48.52,132.34,62.27,81.44,97.75,N
R,0,0,0,0,0,0,0,Y
R,0,449.58,299.72,0,150.33,149.86,0,N
R,21.84,12.79,0,0,2.28,3.04,0,N
R,0,0,0,0,0,0,0,Y
R,11.17,0.25,0,1.35,1.93,0,0,N
R,0,0,0,0,0,0,0,Y
R,11.25,27.81,15,44.98,2.26,1.5,3.8,N
R,11.5,37.9,17.25,1.85,0,49.72,67.65,N
R,0,0,0,0,0,0,0,Y
R,21.74,49.73,69.92,27.28,65.97,0,44.47,N
R,0,0,0,0,0,0,0,Y
R,5231.62,6608.2,301.07,111.48,103.9,1962.95,0,N
F,0,0,0,0,0,0,0,Y
PF,20.25,0,239.13,19.5,29.98,0,0,N
R,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,1.04,N
R,0,17.65,34.18,17.19,7.53,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
PF,500.52,44.18,35.92,13.95,0,0,0,N
PF,0,0,0,0,0,9.71,9.74,N
R,59.95,0,74.95,68.59,59.96,62.59,98.31,N
R,11.8,0,0,0,370.16,1259.76,0,N
R,0,0,0,0,0,0,0,Y
R,44.84,277.28,666.91,127.4,209.84,262.29,337.2,N
R,0,0,0,0,0,0,0,Y
R,0,22.56,12.93,0,0,0,0,N
R,4.35,0,0,0,0,0,0,N
R,27.45,0,0,0,0,593.88,19.67,N
R,0,0,0,0,0,0,0,Y
R,120.82,375.89,133.05,43.37,243.14,45.06,13.85,N
PF,23.14,4.85,21.82,0,0,0,0,N
R,1.78,19.97,178.98,8.18,17.15,20.35,211.84,N
R,0,0,0,0,2.55,1.75,5.13,N
R,0,0.37,0,0,0,0,0,N
R,1,0,0,23.68,0,21.43,11.24,N
F,0,0,0,0,0,0,0,Y
PF,12.38,54.42,23.22,7.3,1.15,1.64,3.38,N
R,0,0,0,0,0,0,0,Y
R,0,9.03,2.96,28.2,37.61,16.2,0,N
R,164.84,119.89,208.7,0,104.9,224.79,74.94,N
R,0,0,0,52.48,695.9,3583.49,0,N
R,100.3,3098.92,7388.73,3954.09,460.2,1889.63,1590.94,N
R,7.5,7.5,18.75,26.25,254.79,82.45,48.73,N
R,0,0,0,0,0,0,0,Y
R,0,1.07,0,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,9.92,12.86,75.03,34.82,19.91,40.75,6.5,N
R,0,0,0,0,0,0,0,Y
F,0,0,0.76,0,0,0,0,N
PF,0,0,0,0,0,0,0,Y
R,0,3.75,0,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,754.78,492.06,753.09,49.26,626.58,0,0,N
F,0,0,0,0,0,0,0,Y
R,20.84,0,0,3.12,2.23,0,0,N
R,14.7,4,0,17.15,8.71,13.85,11.39,N
R,0,0,0,0,0,0,0,Y
R,74.93,74.93,89.92,74.93,74.93,0,224.79,N
R,0,0,0,0,0,0,0,Y
R,1416,1475,1445.5,519.2,0,0,401.2,N
R,0,0,0,0,0,0.18,0,N
R,0,0,0,0,0,0,0,Y
R,507.9,1027.56,774.45,1743.39,0,0,127.14,N
R,183.64,0,0,15.12,0,0,0,N
F,0.4,0.64,0,0,1.83,0.19,0,N
R,0,0,0,0,0,0,0,Y
R,150.7,0,97.36,76.22,196.14,0,311.64,N
R,12.35,0.76,75.34,0,334.34,609.11,129.64,N
R,0,29.98,299.8,59.96,104.93,0,104.93,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,182.43,0,7.5,56.75,N
R,2335.17,37.61,1979.45,86.76,0,0,0,N
R,185.2,333.45,90.98,355.07,168.68,933.85,870.99,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
F,0,0,36.01,0,0,0,0,N
R,17.56,6.07,0,9.09,68.3,2.45,8.88,N
R,21.83,42.3,30.82,0,0,0,0,N
R,138.76,649.24,0.64,0,150.05,107.79,0,N
R,10.2,236.94,119.29,224.32,203.2,92.62,142.72,N
F,0,0,0,0,0,0,0,Y
R,0,56.2,46.91,32.36,0,0,181.84,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0.52,0,0,0,N
R,0,0,15359.34,1179.52,13386.39,3155.29,1598.83,N
R,1.1,0,0,0,0,0,0,N
R,0,236.11,2160.54,1.5,299.57,0,0,N
F,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,2.51,N
R,46.46,67.45,243.55,14.99,9.77,86.19,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,503.43,4935.2,1253.56,914.37,2334.95,8619.51,6193.46,N
R,15.54,0,0,745.32,0,31.7,0,N
R,0,0,0,0,0,0,0,Y
R,3.9,319.46,74.06,0,477.92,157.2,0,N
R,0,29.13,0,72.74,16.27,1.38,0,N
PF,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,16.23,20.57,0,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
F,4.33,0,1.51,2.42,2.2,2.06,1.24,N
R,0,0,1.11,0.48,0.37,1.07,1.16,N
PF,0,0,0,0,0,0,0,Y
F,0,1.39,0,1.24,0,0,0,N
F,0,0,0,0,0,0,0,Y
R,3.62,11.66,17.2,10.24,4.18,3.16,1.76,N
R,0,0,0,0,0,0,0,Y
R,29.98,93.67,33.73,0,0,112.43,74.95,N
PF,2865.42,2590.44,905.21,1989.14,2938.26,3110.33,1636.65,N
F,36.04,3.91,1.25,1.44,1.97,15.33,2.76,N
R,0,0,0,0,0,0,0,Y
R,0,4.25,0,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,2799.92,1708.36,3572.77,1237.35,1077.46,770.54,1535.65,N
R,0,0,18.77,8.68,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,109.79,531.71,6.17,1286.89,0,675.17,N
R,18.94,9.79,0.19,0,0,0,0,N
R,832,237.37,404.96,488.33,508.19,741.53,784.42,N
R,0,0,0,0,0,18.17,522.02,N
R,0,0,0,0,0,0,0,Y
R,36.6,0,0,0,0,44.63,11.98,N
F,0,0,90.94,0,0,0,0,N
R,0,0,0,0,0,0,470.32,N
F,0,0,0,0,0,0,0,Y
R,9.22,3.46,4.96,15.05,34,18.95,16.18,N
F,0,0,0,0,0,0,0,Y
R,0,0,0,408.48,932.41,788.42,1874.42,N
R,0,1.1,0.44,0,0,0,0,N
R,87.96,27.65,185.07,30.34,0,0,0,N
R,258.24,360.94,278.63,89.92,14.99,4.45,62.48,N
R,1956.29,1284.22,2671.81,2125.43,1114.98,1080.58,1923.87,N
R,2.01,23.35,0,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,2.7,1.91,8.74,4.82,3.09,0.22,0,N
R,0,30.17,834.93,30.09,0.19,0,0,N
F,0,0.95,2.73,0,0,0,0,N
R,0,0,0,0,13.42,0,3.73,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,5.65,0,0,0,N
R,0,0,0,0,0,6.04,6.12,N
R,0,0,0,0,0,0,0,Y
R,21.34,8.21,8.98,13.23,65.35,22,3.73,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
F,0,0,0.19,0,0,0,0,N
R,3.13,0,0,0,0,0,0,N
R,14.99,29.98,14.99,29.98,29.98,14.99,44.97,N
R,0,652.85,6.22,37.73,27.8,26.3,1647.04,N
F,0.48,0,0,0,0,201.95,181.85,N
R,16331.1,263.58,962.89,32.87,112.29,0,5149.44,N
R,0,0,0,0,0,0,0,Y
PF,0,0,0,0,0,0,0,Y
R,0,0.41,0,0,0.36,0,0,N
F,74.03,0,23.79,0,0,0,0,N
R,1.47,1.3,1.35,1.03,2.35,0.62,0.76,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,166.15,14.99,0,26.79,0,0,0,N
R,0,2.65,3.66,0.79,0,0,0,N
R,0,0,107.18,0,0,425.41,77.65,N
F,0,0,0,0,0,0,3.75,N
R,60.54,33.87,44.29,33.15,54.54,16.17,38.89,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
PF,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,1089.02,129.88,343.92,229.96,225.8,63.8,428.5,N
R,0,370.6,262.25,2735.14,3254.3,1333.83,5548.52,N
F,9.57,79.73,2.4,0,15.13,1.5,0,N
R,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,19.33,44.4,17.37,11.49,12.91,15.67,49.52,N
R,25.13,7.13,0,1.5,0,0,0,N
R,22.47,0.45,0,0,0,0,0,N
R,0.87,1.65,1.23,2.12,1.96,2.13,2.15,N
R,0,14.99,14.99,315.56,354.97,314.79,292.3,N
PF,0.57,0.15,0.09,0,0.66,0.38,0,N
R,0,18.23,10.47,0,0,0,0,N
R,6.12,123.87,65.11,0,10.75,21.84,21.8,N
R,5.26,0,83.2,51.72,0,0,0,N
R,74.53,163.28,86.89,56,106.84,132,204.1,N
R,0,0,0,0,0,0,0,Y
R,29.94,0,0,0,0,0,0,N
R,0,0,0,0,6.46,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,100.33,32.52,93.47,33.26,40.85,8.4,N
R,0,0,0,0,0,0,0,Y
R,144.4,92.56,87.14,110.26,133.19,485.77,0,N
R,420.83,147.5,299.11,398.94,331.68,138.95,251.41,N
R,0,0,0,17.76,58.44,68.95,0,N
R,5.06,11.5,5.75,4.71,1.99,0.3,0,N
F,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0.61,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,5.85,13.16,6.77,2.9,4.38,1.31,0.19,N
R,6.08,0,0,0,0,136.8,8.94,N
R,0,41.49,34.23,2.5,0.96,0.35,0.03,N
F,0,0,0,0,0,0,0,Y
R,0,5.93,14.09,0,0,0,0,N
R,7.14,0.88,0,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
F,344.68,0,35.23,162.61,0.76,0,0,N
R,0,0,0,0,0,0,0,Y
R,308.46,197.9,330.96,1651.77,674.63,253.71,470.48,N
R,0,14.99,0,29.98,0,14.99,14.99,N
F,14.6,0,0,24.54,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,50.33,16.15,166.38,312.05,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,575.54,329.69,955.74,228.54,498.29,644.39,765.79,N
R,0,0,0,0,0,0,0,Y
R,0,0,613.57,5522.98,496.09,10.07,2117.58,N
R,0,0,0,14.99,0,14.99,14.99,N
R,0,3.75,0,0,0,0,0,N
R,0,0,0,0,0,29.98,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,1.25,0,0,0,0,N
R,243.22,83.16,0,0,0,1.83,0,N
R,3.94,0.22,0.49,0.68,2.07,0.17,0,N
R,11.19,2.26,0.36,0,0,4.25,0,N
R,0,0,0,0,0,0,0,Y
F,5.25,9,14.25,0,0,0,1.5,N
R,82.75,0,107.29,45.29,143.02,78.18,36.38,N
R,173.54,74.94,0,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0.5,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,20.24,200.6,0,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,43.5,7.5,4.5,36.76,0,31.61,68.25,N
R,341.59,0,0,205.5,0,0,0,N
R,0,450.02,299.72,0,0,299.72,74.93,N
R,24.16,0,10.55,51.64,11.44,44.59,4.82,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,27.74,16.28,0,0,N
R,0,0,0,0,0,0,0,Y
R,321.93,111.1,257.43,99.46,196.06,10.51,0,N
R,7.11,0,0,0,0,36.72,2.57,N
R,500.32,1928.23,1870.2,1264.99,745.71,1186.7,0,N
R,0,0,0,0,0,0,0,Y
PF,7208.68,990.47,0,465.57,4823.31,5795.87,2307.86,N
R,1093.76,0,0,0,0,0,76.97,N
PF,0,0,0,0.24,0,0,0,N
R,0,0.46,0,0,0,0,0,N
R,26,0,0,29.98,135.75,2.8,69.32,N
R,14.99,0,0,29.98,14.99,52.55,20.99,N
R,0,0,0,0,0,0,0,Y
F,11.53,17.48,2.31,0,0,0.82,2.27,N
R,1.18,0,7.53,0,9.33,0,14.43,N
F,124.84,6.39,38.51,0,0,0,191.49,N
R,2210.86,80.79,2110.83,1978.19,772.83,2633.27,1815.97,N
R,0,0,0,0,0,0,0,Y
F,0,0,0,0,27.4,40.02,20.04,N
R,0,0,0,0,0,0,0,Y
R,257.92,227.19,0,0,0,112.49,61.08,N
R,0,57.18,12.62,0,0,52.9,0,N
R,7.37,24.01,1.61,5.34,9.9,6.51,0,N
R,3.94,62.98,279.07,4.89,0,84.51,48.91,N
R,473.76,408.77,771.27,855.69,285.59,554.73,488.04,N
R,59.43,58.63,31.56,79.83,76.35,95.19,99.57,N
R,21.24,7.49,0,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,11.25,3.75,0,3.75,7.5,0,0,N
R,0,0,0,0,0,0,30.16,N
R,0,0,0,0,0,0,0,Y
R,5565.21,972.33,0,0,228.93,237.19,0,N
R,0,0,0,0,0,0,0,Y
PF,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,29.24,69.31,17.42,33.92,5,N
R,262.33,209.85,263.08,210.62,262.31,194.87,112.42,N
R,0,0,0,0,0,11.25,0,N
R,7.93,0,1.5,0,0,0,0,N
R,0,0,325.86,763.53,1050.15,850.58,1533.72,N
R,0.42,0,0,0.31,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,403.56,0,753.43,1003.59,687.39,N
PF,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,93.4,108.88,251.17,282.26,N
R,1.17,0,0,0.58,0,0,0,N
F,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,187.38,318.51,97.42,161.13,251.6,169.74,44.96,N
R,303.27,29.7,0,505.78,628.86,0.94,48.33,N
R,0,2949.35,936.38,2268.9,0,0,150.56,N
R,254.83,74.95,29.98,153.66,82.49,97.43,44.97,N
R,0,41.23,11.88,0,0.69,1.22,8.55,N
R,446.21,287.6,719.65,1151.43,1072.18,446.81,219.2,N
R,0,0,0,0,7.49,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,35.88,113.75,163.34,127.5,16,39.54,9.38,N
R,0,0,0,0,0,0,0,Y
R,1.58,0,0,0,0,0,0,N
R,1223.74,149.03,3394.27,143.32,27.9,0,365.08,N
R,228.56,42.93,7,45.56,0.92,0,122.61,N
R,20.49,0,74.93,0,0,0,0.76,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,942.31,2088.6,385.09,2341.75,2653.22,2110.83,1377.88,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,20.23,0,1.52,33.72,1.5,N
R,15.83,0.77,0,0,0,0,29.97,N
R,0,0,18.75,10.89,0,0,0,N
PF,1.15,0,0,0,0,0,0,N
R,0,0,0.4,0,0,0.98,1.01,N
PF,218.74,8.26,0,3.42,0,0,0,N
R,5.56,33.17,24.52,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,2981.09,12882.83,0,0,0,211.46,212.4,N
R,1.27,0,0,0,0,0,0,N
R,0.44,0,0.32,0,0,0,0.46,N
R,3.16,6.56,13.04,4.01,22.56,41.39,4.2,N
PF,0,0,0,0,0,0,0,Y
R,473.44,460.64,100.63,338.48,137.78,0,0,N
R,625.34,187.35,648.19,83.93,554.48,1815.67,1180.47,N
R,44.35,0,0,0,0,0,0,N
PF,27.82,16.9,28.08,35.05,35.08,0,0.67,N
R,69.32,26.26,0,662.76,1027.63,519.81,520.14,N
F,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,4.14,0,0,0,0,0,N
R,0.05,45.31,1.26,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
F,0.14,0,0,0,0,0,0,N
R,7.57,1.67,1.56,2.4,4.5,4.5,1.5,N
R,0,0,0,0,0,0,0,Y
R,0.17,0.74,1.19,0.95,3.01,5.55,0.67,N
F,0,0,0,0,0,0,0,Y
R,0,1449.45,0,0,9.78,352.29,222.97,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,14.98,37.47,26.25,N
F,0,0,0,0,0,0,0,Y
R,5.32,0,0,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,29.98,92.58,N
F,8.38,1.9,0,27.57,9.02,0,0,N
R,0,0,0,0,0,0,0,Y
R,1242.2,638.35,515.14,1172.98,2229.47,828.03,1853.82,N
F,0,0,0,0,0,0,0,Y
R,44.97,0,0,0,59.96,14.99,0,N
R,0,0,0,0,0,0.49,0,N
F,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
R,0,1.77,0,0,0,0.68,0,N
R,0,0,0,0,0,0,0,Y
R,0,0.2,193.45,918.22,0,0,0,N
F,0,28.65,0,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,1.7,24.72,14.25,2.85,N
R,26.25,19.77,0,0,34.84,11.9,12.05,N
R,2769.11,2088.69,0,0,0,0,0,N
R,14.99,0,0,14.99,0,15.82,15.75,N
F,29.24,72.56,33.13,0.65,5.06,0.72,1.83,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,4.39,95.65,77.44,N
R,127.38,0,0,0,14.99,0,194.84,N
R,0,0,0,0,0,0,0,Y
R,10499.56,616.79,601.8,401.2,200.6,401.2,200.6,N
R,0,0,0,0,0,0,0,Y
R,3.75,0,0,15,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,112.38,62.95,0,N
R,0,2752.26,0,0,0,0,0,N
R,2.78,4.11,7.92,6.11,0,0,0,N
R,20.28,41.57,0,0,0,5.42,6.57,N
R,168.01,262.27,45.97,104.93,187.35,224.82,136.41,N
R,0,8.15,29.05,9.96,0,0,0,N
R,3.83,9.23,34.19,30.46,14.2,2.73,0,N
R,2740.72,2713.12,0,0,379.56,0,0,N
R,0,0,17.76,0,0,0,0,N
R,0,0,0,1.14,0,0,0,N
R,2.21,0,3,3.1,11.93,0,0,N
R,0,0,0,0,1.13,0,0,N
F,0,0,0,0,0,0,0,Y
R,1245.91,527.14,0,0,0,0,32.38,N
R,3.33,0,11.04,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,425.85,347.91,16.49,0,332.04,273.75,102.24,N
R,86.2,14.99,29.98,2.44,29.98,67.46,44.97,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,119.91,N
F,0,0,0,0,0,0,0,Y
R,0,5.65,0,0,0,0,0,N
R,1618.33,110.12,0,31.59,0,0,386.27,N
R,0,0,0,0,0,0,0,Y
R,404.5,16.51,0,0,0,0,0,N
R,1.59,1.22,21.35,0.94,0,0,0,N
R,0,1262.26,0,248.89,1035.22,205.51,0,N
R,0,0,0,0,63.9,43.37,139.13,N
R,0,0,0,0,0,0,0,Y
F,41.78,0.76,0,56.76,15.75,75.24,8.5,N
R,0,0,10.93,0,18.91,0,0,N
R,0,0,1.38,0.19,0,0,0.12,N
F,2.33,0.5,3.92,2.11,7.4,3.78,0.49,N
R,0,66.68,0.88,1.38,3.53,0.38,0.04,N
R,0,0,0,0.84,0,0.43,2.44,N
R,73,12.47,13.36,0,0,0,0,N
R,46.43,32.37,18.95,2.19,58.07,52.72,18.02,N
R,0,0,0,0,0.19,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,43.37,N
F,100.89,132.44,7.78,0,0,0,0,N
F,0,0,0,0,0,0,0,Y
R,472,0,0,0,0,16230.9,2590.1,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,2480.67,5753.01,239.08,7376.21,6887.05,536.55,1074.69,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,26.41,24.17,0,0.86,0,N
R,96.04,79.48,7.5,68.98,42.76,31.48,110.25,N
R,0,74.67,3.39,0,0,0,0,N
R,1625.09,1386.82,359.47,233.52,385.66,237.72,10.66,N
R,0,0,0,0,0,0,0,Y
R,29.98,0,0,0,14.99,59.96,44.96,N
R,0,1002.07,697.81,670.17,1219.75,495.99,10.08,N
R,0,57.33,0,0,0,0,0,N
R,1624.02,2483.9,8779.2,92228.8,8230.5,1770,0,N
R,0,0,0,0,0,0,0,Y
F,24.88,9.34,1.51,0,0,0,0,N
R,15.79,49.23,0,0,15.73,20.38,36.87,N
R,0,0,0,0,0,0.01,0,N
R,0,0,0,0,0,0,0,Y
R,0.22,0,43.27,0,0.6,0,0,N
R,132.31,213.41,172.43,300.34,213.81,190.26,363.17,N
F,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
F,0,2.26,0,4.5,11.24,0,3,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,3707.99,16085.28,10426.98,15608.3,8397.25,13916.51,9871.24,N
R,0,0,0,0,0,0,0,Y
R,14.99,224.79,29.98,0,44.97,59.96,209.82,N
PF,0,14.99,0,0,0,0,0,N
R,0.41,0,0,0.77,0,0,0,N
R,0,0,0,0,0.26,0,228.37,N
R,0,0,0,0,0,0,0,Y
R,0,1.38,1.23,3.99,6.16,5.6,2.32,N
R,62.82,50.4,0,0,0,0,0,N
R,0,0,0,0,0.76,0,0,N
R,0,0,0,0,0,0,0,Y
R,64.45,51.26,25.26,38.15,32.5,1.55,12.54,N
R,0,0,0,0,0,0,0,Y
F,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,437.59,0,70.46,165.78,0,0,0,N
R,0,0,0,0,14.99,0,0,N
R,14.99,0,0,31,0,14.99,0,N
R,81.35,217.17,0,65.91,0,0,251.1,N
R,0,0,0,19.05,0,0,0,N
PF,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
F,133.15,74,32.46,0,0,0,0,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,944,479.5,0,N
R,0,0,0,0,0,0,0,Y
R,0,799.86,1705.24,0,0,5340.21,5459.04,N
R,0,0,0,0,0,0,0,Y
R,0,12.97,0,0,0,0,0,N
R,0,119.88,0,0,0,0,0,N
R,14.99,0,14.99,37.48,15.75,14.99,158.03,N
R,0,0,0,0,26.24,25.54,54.02,N
R,0,0,0,0,0,0,0,Y
R,29.99,1.5,5.25,5.25,26.25,0,0.54,N
R,26.53,21.5,2.29,2.4,1.47,0,0,N
R,0,0,0,0,13.14,0,0,N
R,0,0,4.61,0,0,3.06,0,N
R,8.56,3.42,42.54,14.06,44.95,59.25,60.23,N
R,0,2245.68,2816.88,1993.39,1547.27,2769.85,1520.86,N
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,0,0,0,0,0,0,0,Y
R,11.93,0,0,0,0,0,0,N
